Канал;Supermarkets;;;;;;;;;;;
Диапазон веса;(несколько элементов);;;;;;;;;;;
;;;;;;;;;;;;
Бренд;Год;Месяц;SUM of Сумма (в 1000);;;;;;;;;
Other;2022;9;477,70;;;;;;;;;
Other;2022;10;724,67;;;;;;;;;
Other;2022;11;672,52;;;;;;;;;
Other;2022;12;790,27;;;;;;;;;
Other;2021;1;341,35;;;;;;;;;
Other;2021;2;229,58;;;;;;;;;
Other;2021;3;481,70;;;;;;;;;
Other;2021;4;283,17;;;;;;;;;
Other;2021;5;316,40;;;;;;;;;
Other;2021;6;318,98;;;;;;;;;
Other;2021;7;225,06;;;;;;;;;
Other;2021;8;264,77;;;;;;;;;
Other;2021;9;381,29;;;;;;;;;
Other;2021;10;449,28;;;;;;;;;
Other;2021;11;378,37;;;;;;;;;
Other;2021;12;266,46;;;;;;;;;
Other;2022;1;282,59;;;;;;;;;
Other;2022;2;256,51;;;;;;;;;
Other;2022;4;528,58;;;;;;;;;
Other;2022;6;247,16;;;;;;;;;
Other;2022;9;220,26;;;;;;;;;
Other;2022;10;243,12;;;;;;;;;
Other;2022;11;209,66;;;;;;;;;
Other;2022;12;257,23;;;;;;;;;
Other;2021;1;194,49;;;;;;;;;
Other;2021;2;247,60;;;;;;;;;
Other;2021;3;283,82;;;;;;;;;
Other;2021;4;229,68;;;;;;;;;
Other;2021;5;261,79;;;;;;;;;
Other;2021;7;196,26;;;;;;;;;
Other;2021;8;205,90;;;;;;;;;
Other;2021;9;282,79;;;;;;;;;
Other;2021;10;342,01;;;;;;;;;
Other;2021;12;203,92;;;;;;;;;
Other;2022;3;491,78;;;;;;;;;
Other;2022;4;472,78;;;;;;;;;
Other;2022;5;294,90;;;;;;;;;
Other;2022;6;197,47;;;;;;;;;
Other;2021;5;829,93;;;;;;;;;
Other;2021;6;960,91;;;;;;;;;
Other;2021;7;959,12;;;;;;;;;
Other;2021;8;549,43;;;;;;;;;
Other;2021;9;277,62;;;;;;;;;
Other;2021;10;191,26;;;;;;;;;
Other;2021;1;807,01;;;;;;;;;
Other;2021;2;503,78;;;;;;;;;
Other;2021;3;395,92;;;;;;;;;
Other;2021;4;375,00;;;;;;;;;
Other;2021;5;432,96;;;;;;;;;
Other;2021;6;304,73;;;;;;;;;
Other;2021;7;346,08;;;;;;;;;
Other;2021;8;170,73;;;;;;;;;
Other;2021;1;246,98;;;;;;;;;
Other;2021;2;187,83;;;;;;;;;
Other;2021;3;211,27;;;;;;;;;
Other;2022;1;145,87;;;;;;;;;
Other;2022;8;98,94;;;;;;;;;
Other;2022;9;128,90;;;;;;;;;
Other;2022;10;143,89;;;;;;;;;
