Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2021;2;Minimarkets;Vivid;350-399G;48,94;0,21;210;1;210;232,82;374,5;0,62;;;;;;;;;;;;;;
2021;2;Minimarkets;Orange;250-299G;1,31;0,00;3;2;2;396,51;274,5;1,44;;;;;;;;;;;;;;
2021;2;Minimarkets;Orange;300-349G;3,32;0,02;16;2;8;208,67;324,5;0,64;;;;;;;;;;;;;;
2021;2;Minimarkets;Orange;400-599G;38,38;0,35;350;216;2;109,78;499,5;0,22;;;;;;;;;;;;;;
2021;2;Minimarkets;Pale;<200G;0,06;0,00;0;1;0;201,57;200;1,01;;;;;;;;;;;;;;
2021;2;Minimarkets;Pale;400-599G;37,05;0,10;95;1;95;388,38;499,5;0,78;;;;;;;;;;;;;;
2021;2;Supermarkets;Green;200-249G;8 438,53;158,12;158120;11647;14;53,37;224,5;0,24;;;;;;;;;;;;;;
2021;2;Supermarkets;Green;350-399G;10 562,13;110,50;110500;15152;7;95,58;374,5;0,26;;;;;;;;;;;;;;
2021;2;Supermarkets;Green;400-599G;912,74;6,40;6403;781;8;142,56;499,5;0,29;;;;;;;;;;;;;;
2021;2;Supermarkets;Green;600-899G;5,51;0,04;41;31;1;135,04;749,5;0,18;;;;;;;;;;;;;;
2021;2;Supermarkets;Blue;200-249G;2,36;0,02;17;12;1;142,99;224,5;0,64;;;;;;;;;;;;;;
2021;2;Supermarkets;Blue;400-599G;4 419,94;20,25;20251;1675;12;218,26;499,5;0,44;;;;;;;;;;;;;;
2021;2;Supermarkets;Yellow;350-399G;1 418,48;19,64;19637;2162;9;72,23;374,5;0,19;;;;;;;;;;;;;;
2021;2;Supermarkets;Black;200-249G;170,09;2,98;2978;811;4;57,12;224,5;0,25;;;;;;;;;;;;;;
2021;2;Supermarkets;Black;400-599G;503,78;3,24;3241;2143;2;155,43;499,5;0,31;;;;;;;;;;;;;;
2021;2;Supermarkets;Deep;<200G;407,29;1,54;1541;111;14;264,30;200;1,32;;;;;;;;;;;;;;
2021;2;Supermarkets;Deep;350-399G;6,79;0,02;21;7;3;329,74;374,5;0,88;;;;;;;;;;;;;;
2021;2;Supermarkets;Deep;400-599G;36,48;0,07;74;54;1;494,24;499,5;0,99;;;;;;;;;;;;;;
2021;2;Supermarkets;Dim;<200G;0,66;0,00;1;1;1;508,01;200;2,54;;;;;;;;;;;;;;
2021;2;Supermarkets;Dim;350-399G;25,32;0,06;55;1;55;459,57;374,5;1,23;;;;;;;;;;;;;;
2021;2;Supermarkets;Dim;400-599G;222,28;0,41;410;1;410;542,27;499,5;1,09;;;;;;;;;;;;;;
2021;2;Supermarkets;Vivid;<200G;53,94;0,30;296;78;4;181,97;200;0,91;;;;;;;;;;;;;;
2021;2;Supermarkets;Vivid;350-399G;187,83;0,83;834;88;9;225,17;374,5;0,60;;;;;;;;;;;;;;
2021;2;Supermarkets;Red;350-399G;229,58;1,40;1403;266;5;163,64;374,5;0,44;;;;;;;;;;;;;;
2021;2;Supermarkets;Moderate;350-399G;201,00;1,08;1080;117;9;186,20;374,5;0,50;;;;;;;;;;;;;;
2021;2;Supermarkets;Pale;<200G;0,51;0,00;1;2;1;394,62;200;1,97;;;;;;;;;;;;;;
2021;2;Supermarkets;Pale;400-599G;184,81;0,51;509;87;6;363,02;499,5;0,73;;;;;;;;;;;;;;
2021;3;Hypermarkets;Green;200-249G;883,87;12,73;12728;565;23;69,44;224,5;0,31;;;;;;;;;;;;;;
2021;3;Hypermarkets;Green;350-399G;6 611,28;71,56;71555;794;90;92,39;374,5;0,25;;;;;;;;;;;;;;
2021;3;Hypermarkets;Green;400-599G;4 368,40;36,16;36161;581;62;120,80;499,5;0,24;;;;;;;;;;;;;;
2021;3;Hypermarkets;Blue;200-249G;8,99;0,07;73;11;7;123,45;224,5;0,55;;;;;;;;;;;;;;
2021;3;Hypermarkets;Blue;400-599G;5 080,93;25,67;25665;664;39;197,97;499,5;0,40;;;;;;;;;;;;;;
2021;3;Hypermarkets;White;<200G;381,38;3,62;3617;112;32;105,46;200;0,53;;;;;;;;;;;;;;
2021;3;Hypermarkets;Yellow;350-399G;326,45;4,76;4759;236;20;68,60;374,5;0,18;;;;;;;;;;;;;;
2021;3;Hypermarkets;Black;200-249G;194,22;2,58;2579;311;8;75,30;224,5;0,34;;;;;;;;;;;;;;
2021;3;Hypermarkets;Black;400-599G;59,91;0,41;413;148;3;144,91;499,5;0,29;;;;;;;;;;;;;;
2021;3;Hypermarkets;Orange;250-299G;2,72;0,01;8;3;3;331,64;274,5;1,21;;;;;;;;;;;;;;
2021;3;Hypermarkets;Orange;400-599G;140,99;1,09;1087;123;9;129,73;499,5;0,26;;;;;;;;;;;;;;
2021;3;Hypermarkets;Red;350-399G;112,19;0,79;785;73;11;142,89;374,5;0,38;;;;;;;;;;;;;;
2021;3;Hypermarkets;Pink;<200G;45,09;0,26;260;87;3;173,77;200;0,87;;;;;;;;;;;;;;
2021;3;Hypermarkets;Pink;350-399G;0,07;0,00;1;2;0;99,36;374,5;0,27;;;;;;;;;;;;;;
